cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
1033,1356 CEA-AAA-BST Six3 Sp9 Gaba_2,0374 CEA-AAA-BST Six3 Sp9 Gaba_2,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,2,4.8491025,4.8491025,1.0
1038,1371 CEA-AAA-BST Six3 Sp9 Gaba_8,0380 CEA-AAA-BST Six3 Sp9 Gaba_8,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,7,1.5919217,0.0,0.2857142857142857
1048,1013 STR-PAL Chst9 Gaba_5,0289 STR-PAL Chst9 Gaba_5,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,4,1.4913296,0.0,0.25
1049,1353 CEA-AAA-BST Six3 Sp9 Gaba_1,0373 CEA-AAA-BST Six3 Sp9 Gaba_1,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,1,6.1134524,6.1134524,1.0
1050,1364 CEA-AAA-BST Six3 Sp9 Gaba_4,0376 CEA-AAA-BST Six3 Sp9 Gaba_4,080 CEA-AAA-BST Six3 Sp9 Gaba,11 CNU-HYa GABA,GABA,4,4.4137745,5.3674583,0.75
1063,0978 STR D2 Gaba_3,0276 STR D2 Gaba_3,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,3,3.9040864,5.3625717,0.6666666666666666
1067,0961 STR D1 Gaba_8,0272 STR D1 Gaba_8,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,1,4.934914,4.934914,1.0
1074,0986 STR D2 Gaba_6,0279 STR D2 Gaba_6,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,5,1.130497,0.0,0.2
1075,0976 STR D2 Gaba_2,0275 STR D2 Gaba_2,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,14,3.500981,5.4439516,0.5714285714285714
1076,0977 STR D2 Gaba_2,0275 STR D2 Gaba_2,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,40,2.7934399,0.0,0.475
1077,0973 STR D2 Gaba_2,0275 STR D2 Gaba_2,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,8,2.236104,0.0,0.375
1079,0975 STR D2 Gaba_2,0275 STR D2 Gaba_2,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,14,3.08865,4.9409757,0.5714285714285714
1080,0963 STR D1 Gaba_8,0272 STR D1 Gaba_8,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,3,5.418594,5.4791427,1.0
1082,0964 STR D1 Gaba_9,0273 STR D1 Gaba_9,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,44,4.7859387,5.5472155,0.7954545454545454
1083,0958 STR D1 Gaba_6,0270 STR D1 Gaba_6,061 STR D1 Gaba,09 CNU-LGE GABA,GABA,6,3.8766181,5.4330444,0.6666666666666666
1086,0979 STR D2 Gaba_4,0277 STR D2 Gaba_4,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,6,2.9325383,2.6460958,0.5
1088,0981 STR D2 Gaba_4,0277 STR D2 Gaba_4,062 STR D2 Gaba,09 CNU-LGE GABA,GABA,2,2.9710824,2.9710824,0.5
1096,1248 MEA-BST Lhx6 Sp9 Gaba_3,0349 MEA-BST Lhx6 Sp9 Gaba_3,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,5,1.8370297,0.0,0.4
1111,1258 MEA-BST Lhx6 Sp9 Gaba_5,0351 MEA-BST Lhx6 Sp9 Gaba_5,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,1,5.555572,5.555572,1.0
1118,1251 MEA-BST Lhx6 Sp9 Gaba_3,0349 MEA-BST Lhx6 Sp9 Gaba_3,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,3,4.8632374,4.832034,1.0
1124,1252 MEA-BST Lhx6 Sp9 Gaba_3,0349 MEA-BST Lhx6 Sp9 Gaba_3,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,1,5.601399,5.601399,1.0
1126,0824 Sst Gaba_17,0230 Sst Gaba_17,053 Sst Gaba,07 CTX-MGE GABA,GABA,18,2.7321143,0.0,0.4444444444444444
1127,1233 MEA-BST Sox6 Gaba_9,0345 MEA-BST Sox6 Gaba_9,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,9,1.3558344,0.0,0.2222222222222222
1129,1192 MEA-BST Sox6 Gaba_2,0338 MEA-BST Sox6 Gaba_2,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
1130,1188 MEA-BST Sox6 Gaba_1,0337 MEA-BST Sox6 Gaba_1,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,3,1.8476301,0.0,0.3333333333333333
1131,1256 MEA-BST Lhx6 Sp9 Gaba_4,0350 MEA-BST Lhx6 Sp9 Gaba_4,074 MEA-BST Lhx6 Sp9 Gaba,11 CNU-HYa GABA,GABA,1,0.0,0.0,0.0
1132,1193 MEA-BST Sox6 Gaba_2,0338 MEA-BST Sox6 Gaba_2,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,21,3.8406231,4.9857373,0.7142857142857143
1133,1194 MEA-BST Sox6 Gaba_2,0338 MEA-BST Sox6 Gaba_2,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,7,3.839206,4.584907,0.7142857142857143
1134,1212 MEA-BST Sox6 Gaba_5,0341 MEA-BST Sox6 Gaba_5,073 MEA-BST Sox6 Gaba,11 CNU-HYa GABA,GABA,10,3.8573563,4.977727,0.7
