cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
3282,3774 PRT Mecom Gaba_3,0866 PRT Mecom Gaba_3,210 PRT Mecom Gaba,20 MB GABA,GABA-Glyc,12,4.6374764,5.849318,0.75
3283,3768 PRT Mecom Gaba_1,0864 PRT Mecom Gaba_1,210 PRT Mecom Gaba,20 MB GABA,GABA,5,5.5539246,7.056655,0.8
3284,3769 PRT Mecom Gaba_1,0864 PRT Mecom Gaba_1,210 PRT Mecom Gaba,20 MB GABA,GABA,2,6.543306,6.543306,1.0
3285,3761 PRT Mecom Gaba_1,0864 PRT Mecom Gaba_1,210 PRT Mecom Gaba,20 MB GABA,GABA,6,3.4628336,3.3816848,0.5
3286,3770 PRT Mecom Gaba_1,0864 PRT Mecom Gaba_1,210 PRT Mecom Gaba,20 MB GABA,GABA,4,3.2515094,2.6004393,0.5
3287,3636 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,0834 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,47,3.844117,5.472211,0.6382978723404256
3288,3665 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,0839 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,1,7.2515063,7.2515063,1.0
3289,3634 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,0834 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,8,3.7131968,4.776376,0.625
3290,3762 PRT Mecom Gaba_1,0864 PRT Mecom Gaba_1,210 PRT Mecom Gaba,20 MB GABA,GABA,2,3.0948298,3.0948298,0.5
3291,3763 PRT Mecom Gaba_1,0864 PRT Mecom Gaba_1,210 PRT Mecom Gaba,20 MB GABA,GABA,4,2.6247387,2.4458997,0.5
3293,3666 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,0839 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_6,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,51,3.9648426,5.3970747,0.6666666666666666
3294,3637 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,0834 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,58,4.277872,5.5077934,0.7068965517241379
3295,3638 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,0834 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,22,4.3653073,5.6621656,0.7272727272727273
3296,3639 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,0834 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,62,4.4425592,5.4825373,0.7419354838709677
3297,3647 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_3,0836 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_3,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,67,3.9171379,5.432584,0.6268656716417911
3298,3640 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,0834 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,30,4.8402276,5.9011755,0.8
3299,3635 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,0834 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba_1,203 LGv-SPFp-SPFm Nkx2-2 Tcf7l2 Gaba,20 MB GABA,GABA,15,4.0536323,5.452466,0.7333333333333333
3304,3482 IC Six3 En2 Gaba_3,0809 IC Six3 En2 Gaba_3,198 IC Six3 En2 Gaba,20 MB GABA,GABA,3,6.612938,6.651194,1.0
3328,3493 IC Six3 En2 Gaba_4,0810 IC Six3 En2 Gaba_4,198 IC Six3 En2 Gaba,20 MB GABA,GABA,1,6.2827196,6.2827196,1.0
3335,3472 IC Six3 En2 Gaba_1,0807 IC Six3 En2 Gaba_1,198 IC Six3 En2 Gaba,20 MB GABA,GABA,2,0.0,0.0,0.0
3336,3473 IC Six3 En2 Gaba_1,0807 IC Six3 En2 Gaba_1,198 IC Six3 En2 Gaba,20 MB GABA,GABA,2,7.164398,7.164398,1.0
3338,3494 IC Six3 En2 Gaba_4,0810 IC Six3 En2 Gaba_4,198 IC Six3 En2 Gaba,20 MB GABA,GABA,1,5.7127504,5.7127504,1.0
