cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
2917,3403 PPN-CUN-PCG Otp En1 Gaba_3,0794 PPN-CUN-PCG Otp En1 Gaba_3,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,38,5.6216354,6.294651,0.8947368421052632
2918,4686 CS-PRNr-PCG Tmem163 Otp Gaba_3,1046 CS-PRNr-PCG Tmem163 Otp Gaba_3,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,22,5.318201,6.023444,0.8636363636363636
2919,3418 MRN-PPN-CUN Pax8 Gaba_3,0797 MRN-PPN-CUN Pax8 Gaba_3,193 MRN-PPN-CUN Pax8 Gaba,20 MB GABA,GABA-Glyc,1,8.008233,8.008233,1.0
2920,3408 MRN-PPN-CUN Pax8 Gaba_1,0795 MRN-PPN-CUN Pax8 Gaba_1,193 MRN-PPN-CUN Pax8 Gaba,20 MB GABA,GABA,3,5.3742695,5.309315,1.0
2921,3411 MRN-PPN-CUN Pax8 Gaba_1,0795 MRN-PPN-CUN Pax8 Gaba_1,193 MRN-PPN-CUN Pax8 Gaba,20 MB GABA,GABA-Glyc,5,4.870739,5.885144,0.8
2922,3409 MRN-PPN-CUN Pax8 Gaba_1,0795 MRN-PPN-CUN Pax8 Gaba_1,193 MRN-PPN-CUN Pax8 Gaba,20 MB GABA,GABA,2,3.0189085,3.0189085,0.5
2923,4670 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,74,5.7822905,6.399105,0.8783783783783784
2924,3389 PPN-CUN-PCG Otp En1 Gaba_1,0792 PPN-CUN-PCG Otp En1 Gaba_1,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,25,4.442836,5.47647,0.72
2925,4790 DTN-LDT-IPN Otp Pax3 Gaba_4,1072 DTN-LDT-IPN Otp Pax3 Gaba_4,277 DTN-LDT-IPN Otp Pax3 Gaba,26 P GABA,GABA,150,5.326757,6.429609,0.8133333333333334
2926,3390 PPN-CUN-PCG Otp En1 Gaba_1,0792 PPN-CUN-PCG Otp En1 Gaba_1,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,32,3.6502287,5.347146,0.59375
2927,4785 DTN-LDT-IPN Otp Pax3 Gaba_3,1071 DTN-LDT-IPN Otp Pax3 Gaba_3,277 DTN-LDT-IPN Otp Pax3 Gaba,26 P GABA,GABA,67,5.226093,6.128899,0.835820895522388
2928,4792 DTN-LDT-IPN Otp Pax3 Gaba_4,1072 DTN-LDT-IPN Otp Pax3 Gaba_4,277 DTN-LDT-IPN Otp Pax3 Gaba,26 P GABA,GABA,89,5.343117,6.300952,0.8314606741573034
2929,4793 DTN-LDT-IPN Otp Pax3 Gaba_4,1072 DTN-LDT-IPN Otp Pax3 Gaba_4,277 DTN-LDT-IPN Otp Pax3 Gaba,26 P GABA,GABA,1210,4.929708,6.058545,0.7735537190082644
2930,3391 PPN-CUN-PCG Otp En1 Gaba_1,0792 PPN-CUN-PCG Otp En1 Gaba_1,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,86,3.5426033,4.6389647,0.5930232558139535
2931,4794 DTN-LDT-IPN Otp Pax3 Gaba_4,1072 DTN-LDT-IPN Otp Pax3 Gaba_4,277 DTN-LDT-IPN Otp Pax3 Gaba,26 P GABA,GABA,86,5.3883967,6.4211245,0.813953488372093
2932,4679 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,24,5.4958024,6.168529,0.875
2933,4772 LDT-PCG St18 Gaba_2,1068 LDT-PCG St18 Gaba_2,276 LDT-PCG St18 Gaba,26 P GABA,GABA,49,5.190596,6.1049404,0.8163265306122449
2934,4773 LDT-PCG St18 Gaba_2,1068 LDT-PCG St18 Gaba_2,276 LDT-PCG St18 Gaba,26 P GABA,GABA,29,4.745887,6.1497188,0.7241379310344828
2935,4771 LDT-PCG St18 Gaba_1,1067 LDT-PCG St18 Gaba_1,276 LDT-PCG St18 Gaba,26 P GABA,GABA-Glyc,28,5.4977384,6.519596,0.8214285714285714
2936,3404 PPN-CUN-PCG Otp En1 Gaba_3,0794 PPN-CUN-PCG Otp En1 Gaba_3,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,49,4.4153414,5.6220784,0.7142857142857143
2937,3393 PPN-CUN-PCG Otp En1 Gaba_2,0793 PPN-CUN-PCG Otp En1 Gaba_2,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,68,4.9942837,5.69298,0.8382352941176471
2938,4683 CS-PRNr-PCG Tmem163 Otp Gaba_2,1045 CS-PRNr-PCG Tmem163 Otp Gaba_2,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,60,5.021914,5.992152,0.8
2939,4684 CS-PRNr-PCG Tmem163 Otp Gaba_2,1045 CS-PRNr-PCG Tmem163 Otp Gaba_2,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,21,5.2232122,5.9040046,0.8571428571428571
2940,4685 CS-PRNr-PCG Tmem163 Otp Gaba_2,1045 CS-PRNr-PCG Tmem163 Otp Gaba_2,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,45,5.513428,6.084739,0.9333333333333333
2941,3410 MRN-PPN-CUN Pax8 Gaba_1,0795 MRN-PPN-CUN Pax8 Gaba_1,193 MRN-PPN-CUN Pax8 Gaba,20 MB GABA,GABA,3,6.4702477,6.372368,1.0
2942,3401 PPN-CUN-PCG Otp En1 Gaba_3,0794 PPN-CUN-PCG Otp En1 Gaba_3,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,21,5.801483,5.7469497,0.9523809523809523
2943,3394 PPN-CUN-PCG Otp En1 Gaba_2,0793 PPN-CUN-PCG Otp En1 Gaba_2,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,10,5.220099,5.654049,0.9
2944,3398 PPN-CUN-PCG Otp En1 Gaba_2,0793 PPN-CUN-PCG Otp En1 Gaba_2,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,27,4.252398,5.328253,0.7037037037037037
2945,3399 PPN-CUN-PCG Otp En1 Gaba_2,0793 PPN-CUN-PCG Otp En1 Gaba_2,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,35,4.5315037,6.0003595,0.7428571428571429
2946,3392 PPN-CUN-PCG Otp En1 Gaba_1,0792 PPN-CUN-PCG Otp En1 Gaba_1,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,17,4.873773,5.740956,0.8235294117647058
2947,3397 PPN-CUN-PCG Otp En1 Gaba_2,0793 PPN-CUN-PCG Otp En1 Gaba_2,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,2,2.9725862,2.9725862,0.5
2948,4791 DTN-LDT-IPN Otp Pax3 Gaba_4,1072 DTN-LDT-IPN Otp Pax3 Gaba_4,277 DTN-LDT-IPN Otp Pax3 Gaba,26 P GABA,GABA,29,5.704102,6.1483254,0.9310344827586207
2949,4671 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,62,3.9063182,5.5961246,0.6290322580645161
2950,4675 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,12,4.850297,6.2486944,0.75
2951,4676 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,42,4.9436183,6.25264,0.7619047619047619
2952,4681 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,36,5.3046427,6.009188,0.8611111111111112
2953,4677 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,18,5.9970264,6.7409587,0.8888888888888888
2954,4672 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,61,5.7188725,6.219982,0.9016393442622951
2955,4678 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,103,4.9413614,5.9661913,0.7864077669902912
2956,4673 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,99,4.558889,5.7302976,0.7474747474747475
2957,4682 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,61,5.212446,5.930851,0.8360655737704918
2958,4680 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,147,5.0454974,5.952547,0.8095238095238095
2959,4674 CS-PRNr-PCG Tmem163 Otp Gaba_1,1044 CS-PRNr-PCG Tmem163 Otp Gaba_1,267 CS-PRNr-PCG Tmem163 Otp Gaba,26 P GABA,GABA,73,3.8391085,5.070337,0.6575342465753424
2960,4774 LDT-PCG St18 Gaba_2,1068 LDT-PCG St18 Gaba_2,276 LDT-PCG St18 Gaba,26 P GABA,GABA,49,5.71063,6.4845023,0.8571428571428571
2961,4758 PDTg Otp Shroom3 Gaba_1,1065 PDTg Otp Shroom3 Gaba_1,274 PDTg Otp Shroom3 Gaba,26 P GABA,GABA,235,4.8820825,6.0535316,0.7617021276595745
2962,4759 PDTg Otp Shroom3 Gaba_1,1065 PDTg Otp Shroom3 Gaba_1,274 PDTg Otp Shroom3 Gaba,26 P GABA,GABA,109,4.2504206,5.6170406,0.6697247706422018
2963,4770 LDT-PCG St18 Gaba_1,1067 LDT-PCG St18 Gaba_1,276 LDT-PCG St18 Gaba,26 P GABA,GABA-Glyc,59,4.691032,5.6716475,0.7627118644067796
2964,4765 LDT-PCG St18 Gaba_1,1067 LDT-PCG St18 Gaba_1,276 LDT-PCG St18 Gaba,26 P GABA,GABA,134,4.0767174,5.5657163,0.6492537313432836
2965,3400 PPN-CUN-PCG Otp En1 Gaba_2,0793 PPN-CUN-PCG Otp En1 Gaba_2,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,8,5.3120174,6.003023,0.875
2966,3417 MRN-PPN-CUN Pax8 Gaba_2,0796 MRN-PPN-CUN Pax8 Gaba_2,193 MRN-PPN-CUN Pax8 Gaba,20 MB GABA,GABA,1,0.0,0.0,0.0
2968,3405 PPN-CUN-PCG Otp En1 Gaba_3,0794 PPN-CUN-PCG Otp En1 Gaba_3,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,16,6.5202436,6.747201,0.9375
2969,3412 MRN-PPN-CUN Pax8 Gaba_1,0795 MRN-PPN-CUN Pax8 Gaba_1,193 MRN-PPN-CUN Pax8 Gaba,20 MB GABA,GABA,6,4.3628016,4.9340544,0.8333333333333334
2970,3406 PPN-CUN-PCG Otp En1 Gaba_3,0794 PPN-CUN-PCG Otp En1 Gaba_3,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,15,5.6304092,7.299427,0.8
2971,3407 PPN-CUN-PCG Otp En1 Gaba_3,0794 PPN-CUN-PCG Otp En1 Gaba_3,192 PPN-CUN-PCG Otp En1 Gaba,20 MB GABA,GABA,29,6.746655,7.413273,0.896551724137931
