subclass,n_cells,cell_class,neurotransmitter,n_partitions,mean_Kif13a,fraction_expressing
057 NDB-SI-MA-STRv Lhx8 Gaba,8034,08 CNU-MGE GABA,GABA,5,4.214265260393328,0.7165795369678865
315 DCO UBC Glut,7328,29 CB Glut,Glut,4,4.210234791157205,0.5930676855895196
090 BST-MPN Six3 Nrgn Gaba,3863,11 CNU-HYa GABA,GABA,7,4.2070473837432045,0.6893606005695055
094 SCH Six6 Cdc14a Gaba,1841,12 HY GABA,GABA,3,4.179237044486692,0.6230309614340033
015 ENTmv-PA-COAp Glut,782,01 IT-ET Glut,Glut,3,4.17552008516624,0.7480818414322251
028 L6b/CT ENT Glut,5645,02 NP-CT-L6b Glut,Glut,5,4.173181913782107,0.7257750221434898
151 TH Prkcd Grin2c Glut,25482,18 TH Glut,Glut,5,4.148704144227298,0.7561023467545719
168 SPA-SPFm-SPFp-POL-PIL-PoT Sp9 Glut,7653,19 MB Glut,Glut,7,4.143697301816282,0.6828694629557036
335 BAM NN,5516,34 Immune,,13,4.139340412146483,0.5398839738941261
186 SCop Pou4f2 Neurod2 Glut,604,19 MB Glut,Glut,2,4.132568207781457,0.6556291390728477
215 SNc-VTA-RAmb Foxa1 Dopa,4239,21 MB Dopa,Dopa,6,4.119035481410711,0.7395612172682237
198 IC Six3 En2 Gaba,4562,20 MB GABA,GABA,4,4.098648341473038,0.6790881192459448
056 Sst Chodl Gaba,3054,08 CNU-MGE GABA,GABA,9,4.091216022888015,0.6889325474787165
318 Astro-NT NN,139030,30 Astro-Epen,,12,4.086697386960369,0.5374955045673596
216 MB-MY Tph2 Glut-Sero,2465,22 MB-HB Sero,Glut,4,4.068364575212982,0.7330628803245436
232 LDT Vsx2 Nkx6-1 Nfib Glut,1378,23 P Glut,Glut,3,4.065678225544268,0.6698113207547169
187 SCsg Pde5a Glut,2043,19 MB Glut,Glut,2,3.950236508761625,0.6319138521781693
136 PMv-TMv Pitx2 Glut,1211,14 HY Glut,Glut,2,3.938929703798513,0.7060280759702725
328 OEC NN,699,32 OEC,,4,3.9356270061516456,0.530758226037196
300 PARN-MDRNd-NTS Gbx2 Gly-Gaba,3955,27 MY GABA,GABA-Glyc,2,3.903761504879899,0.6558786346396965
088 BST Tac2 Gaba,1106,11 CNU-HYa GABA,GABA,3,3.8932696726943945,0.6672694394213382
334 Microglia NN,81472,34 Immune,,13,3.879017706744648,0.49172721916732126
033 NP SUB Glut,874,02 NP-CT-L6b Glut,Glut,4,3.872903893707094,0.7013729977116705
208 SC Lef1 Otx2 Gaba,1945,20 MB GABA,GABA,2,3.8718273072493576,0.5820051413881748
304 NTS-PARN Neurod2 Gly-Gaba,6222,27 MY GABA,GABA-Glyc,2,3.8629996723561555,0.635326261652202
078 SI-MA-ACB Ebf1 Bnc2 Gaba,1544,11 CNU-HYa GABA,GABA,5,3.861328956735752,0.6405440414507771
116 AVPV-MEPO-SFO Tbr1 Glut,2210,13 CNU-HYa Glut,Glut,3,3.8449742303167422,0.6556561085972851
305 SPVI-SPVC Sall3 Nfib Gly-Gaba,1582,27 MY GABA,GABA-Glyc,1,3.8420627,0.6536030341340076
019 L2/3 IT PPP Glut,8756,01 IT-ET Glut,Glut,4,3.8093897345705803,0.6740520785746916
333 Endo NN,84356,33 Vascular,,13,3.790201947700223,0.4937763763099246
082 CEA-BST Ebf1 Pdyn Gaba,8782,11 CNU-HYa GABA,GABA,5,3.778066588499203,0.632316101115919
319 Astro-TE NN,144668,30 Astro-Epen,,11,3.7727234339377054,0.5096496806481047
058 PAL-STR Gaba-Chol,1190,08 CNU-MGE GABA,Chol,4,3.7554166820168065,0.6873949579831933
055 STR Lhx8 Gaba,1511,08 CNU-MGE GABA,GABA,5,3.709584064063534,0.6168100595632032
152 RE-Xi Nox4 Glut,2201,18 TH Glut,Glut,3,3.701608878464335,0.660154475238528
121 MEA-BST Otp Zic2 Glut,1542,13 CNU-HYa Glut,Glut,6,3.6853962682230863,0.6167315175097277
014 LA-BLA-BMA-PA Glut,6921,01 IT-ET Glut,Glut,5,3.678539518638925,0.6808264701632712
003 L5/6 IT TPE-ENT Glut,1868,01 IT-ET Glut,Glut,5,3.659986808297645,0.7135974304068522
181 IC Tfap2d Maf Glut,19786,19 MB Glut,Glut,6,3.6598254738047107,0.5959769534013948
320 Astro-OLF NN,1487,30 Astro-Epen,,6,3.6582493809011436,0.5097511768661735
052 Pvalb Gaba,10165,07 CTX-MGE GABA,GABA,9,3.6422406658632562,0.6520413182488932
207 SCs Dmbx1 Gaba,3956,20 MB GABA,GABA,2,3.6137945165065726,0.5755813953488372
054 STR Prox1 Lhx6 Gaba,1873,08 CNU-MGE GABA,GABA,9,3.61019692648158,0.611318739989322
316 Bergmann NN,3321,30 Astro-Epen,,4,3.6064761540800965,0.5323697681421259
027 L6b EPd Glut,2344,02 NP-CT-L6b Glut,Glut,7,3.6016064495307165,0.6749146757679181
153 MG-POL-SGN Nts Glut,861,18 TH Glut,Glut,2,3.5965630160278743,0.6225319396051103
084 BST-SI-AAA Six3 Slc22a3 Gaba,952,11 CNU-HYa GABA,GABA,5,3.5722964913865547,0.6060924369747899
122 LHA-MEA Otp Glut,889,13 CNU-HYa Glut,Glut,5,3.567711175815523,0.5995500562429696
061 STR D1 Gaba,35689,09 CNU-LGE GABA,GABA,8,3.560319167639889,0.6155678220179888
053 Sst Gaba,15973,07 CTX-MGE GABA,GABA,10,3.527928914167658,0.6288111187629124
051 Pvalb chandelier Gaba,1206,07 CTX-MGE GABA,GABA,8,3.50889340854063,0.6243781094527363
311 CBX MLI Megf11 Gaba,31619,28 CB GABA,GABA,4,3.5042287160694516,0.5190549985768049
059 GPe-SI Sox6 Cyp26b1 Gaba,1386,09 CNU-LGE GABA,GABA,6,3.4660361103896102,0.6067821067821068
111 TRS-BAC Sln Glut,1169,13 CNU-HYa Glut,Glut,4,3.4621787006843454,0.5431993156544055
076 MEA-BST Lhx6 Nfib Gaba,5727,11 CNU-HYa GABA,GABA,7,3.456922493277458,0.5816308713113323
063 STR D1 Sema5a Gaba,7117,09 CNU-LGE GABA,GABA,9,3.4531522806941126,0.5692005058311086
017 CA3 Glut,3172,01 IT-ET Glut,Glut,5,3.4348814232030263,0.6727616645649432
188 SCop Sln Glut,1807,19 MB Glut,Glut,1,3.4340034,0.6347537354731599
330 VLMC NN,8544,33 Vascular,,13,3.4339703578768725,0.45903558052434457
323 Ependymal NN,3096,30 Astro-Epen,,13,3.430613374515504,0.5051679586563307
119 SI-MA-LPO-LHA Skor1 Glut,6588,13 CNU-HYa Glut,Glut,6,3.4061088522768674,0.5769581056466302
010 IT AON-TT-DP Glut,3620,01 IT-ET Glut,Glut,7,3.38960661660221,0.6071823204419888
016 CA1-ProS Glut,14630,01 IT-ET Glut,Glut,5,3.3864453036363638,0.6435406698564593
030 L6 CT CTX Glut,52484,02 NP-CT-L6b Glut,Glut,6,3.375698774731346,0.5787287554302264
317 Astro-CB NN,1715,30 Astro-Epen,,4,3.3534102605247815,0.45597667638483963
