cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
1275,1015 STR-PAL Chst9 Gaba_5,0289 STR-PAL Chst9 Gaba_5,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,346,3.566498,5.1346154,0.5924855491329479
1276,1011 STR-PAL Chst9 Gaba_4,0288 STR-PAL Chst9 Gaba_4,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,1192,3.6744232,5.3600316,0.5864093959731543
1277,1005 STR-PAL Chst9 Gaba_2,0286 STR-PAL Chst9 Gaba_2,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,1115,2.6087534,0.0,0.4385650224215247
1278,1006 STR-PAL Chst9 Gaba_2,0286 STR-PAL Chst9 Gaba_2,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,27,1.9231412,0.0,0.3333333333333333
1279,1007 STR-PAL Chst9 Gaba_2,0286 STR-PAL Chst9 Gaba_2,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,41,2.350965,0.0,0.3902439024390244
1280,1012 STR-PAL Chst9 Gaba_4,0288 STR-PAL Chst9 Gaba_4,064 STR-PAL Chst9 Gaba,09 CNU-LGE GABA,GABA,111,1.9214058,0.0,0.32432432432432434
1283,0528 OB Meis2 Thsd7b Gaba_5,0147 OB Meis2 Thsd7b Gaba_5,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,GABA,9,2.9382138,0.0,0.4444444444444444
1284,0527 OB Meis2 Thsd7b Gaba_5,0147 OB Meis2 Thsd7b Gaba_5,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,GABA,1,0.0,0.0,0.0
1285,0525 OB Meis2 Thsd7b Gaba_3,0145 OB Meis2 Thsd7b Gaba_3,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,GABA,1,0.0,0.0,0.0
1286,0522 OB Meis2 Thsd7b Gaba_2,0144 OB Meis2 Thsd7b Gaba_2,039 OB Meis2 Thsd7b Gaba,05 OB-IMN GABA,GABA,1,0.0,0.0,0.0
