donor_age_category,class_name,subclass_name,n_cells,n_donors,mean_Kif13a,median_Kif13a,fraction_expressing
adult,12 HY GABA,104 TU-ARH Otp Six6 Gaba,511,5,4.716406,5.7178564,0.776908023483366
adult,12 HY GABA,105 TMd-DMH Foxd2 Gaba,315,5,4.70091,5.6199317,0.7555555555555555
adult,12 HY GABA,106 PVpo-VMPO-MPN Hmx2 Gaba,1089,14,4.773613,5.5662074,0.8099173553719008
adult,12 HY GABA,107 DMH Hmx2 Gaba,430,9,4.7155557,5.6653976,0.7837209302325582
adult,12 HY GABA,108 ARH-PVp Tbx3 Gaba,445,5,4.8104124,5.8383093,0.7707865168539326
adult,13 CNU-HYa Glut,111 TRS-BAC Sln Glut,370,11,4.089466,5.5725756,0.6594594594594595
adult,13 CNU-HYa Glut,114 COAa-PAA-MEA Barhl2 Glut,67,10,3.4388692,4.8086715,0.6268656716417911
adult,13 CNU-HYa Glut,116 AVPV-MEPO-SFO Tbr1 Glut,250,10,4.05348,5.076603,0.688
adult,13 CNU-HYa Glut,118 ADP-MPO Trp73 Glut,90,12,4.5340405,5.5323253,0.7666666666666667
adult,14 HY Glut,123 DMH Nkx2-4 Glut,426,5,4.8742056,6.166249,0.744131455399061
adult,14 HY Glut,124 MPN-MPO-PVpo Hmx2 Glut,698,14,5.0099196,5.802479,0.8252148997134671
adult,14 HY Glut,125 DMH Hmx2 Glut,191,5,4.717125,5.5786757,0.7853403141361257
adult,14 HY Glut,126 ARH-PVp Tbx3 Glut,413,5,5.5692782,6.1323037,0.8861985472154964
adult,14 HY Glut,127 DMH-LHA Vgll2 Glut,68,6,4.9242177,5.696233,0.8088235294117647
adult,14 HY Glut,128 VMH Fezf1 Glut,159,9,5.1233883,5.959208,0.8238993710691824
adult,14 HY Glut,129 VMH Nr5a1 Glut,813,12,5.668783,6.451852,0.8659286592865929
adult,14 HY Glut,131 LHA-AHN-PVH Otp Trh Glut,140,14,4.5965853,5.5388975,0.7785714285714286
adult,14 HY Glut,132 AHN-RCH-LHA Otp Fezf1 Glut,213,6,5.4501953,6.1226025,0.8873239436619719
adult,14 HY Glut,133 PVH-SO-PVa Otp Glut,594,16,4.266464,5.4600744,0.7188552188552189
adult,14 HY Glut,134 PH-ant-LHA Otp Bsx Glut,62,6,5.025266,5.788765,0.8064516129032258
adult,14 HY Glut,135 STN-PSTN Pitx2 Glut,162,12,4.585499,5.391812,0.7962962962962963
adult,14 HY Glut,136 PMv-TMv Pitx2 Glut,298,5,4.191694,5.2233505,0.7516778523489933
adult,14 HY Glut,137 PH-an Pitx2 Glut,147,5,4.713861,5.7891464,0.7551020408163265
adult,14 HY Glut,138 PH Pitx2 Glut,360,18,4.5634923,5.542733,0.7777777777777778
adult,14 HY Glut,140 PMd-LHA Foxb1 Glut,189,5,5.4232135,6.0595403,0.8677248677248677
adult,14 HY Glut,141 PH-SUM Foxa1 Glut,306,17,4.332393,5.449272,0.7287581699346405
adult,16 HY MM Glut,143 MM-ant Foxb1 Glut,776,5,5.368428,6.1739197,0.8427835051546392
adult,16 HY MM Glut,144 MM Foxb1 Glut,650,5,5.544037,6.2281847,0.88
adult,19 MB Glut,155 PRC-PAG Pax6 Glut,2105,40,4.4749427,5.6282983,0.7353919239904988
adult,19 MB Glut,156 MB-ant-ve Dmrta2 Glut,195,17,5.1436133,5.7656927,0.8717948717948718
adult,19 MB Glut,159 IF-RL-CLI-PAG Foxa1 Glut,1279,19,4.4909415,5.702017,0.7224394057857702
adult,19 MB Glut,160 PAG-SC Neurod2 Meis2 Glut,1104,9,4.940993,6.158776,0.7581521739130435
adult,19 MB Glut,161 PAG Pou4f3 Glut,2377,8,4.8493347,5.8650994,0.7833403449726546
adult,19 MB Glut,162 CUN Evx2 Lhx2 Glut,1181,11,4.9851384,5.8197083,0.8128704487722269
adult,19 MB Glut,165 PAG-MRN Pou3f1 Glut,1766,14,4.3845086,5.4625916,0.7361268403171007
adult,19 MB Glut,166 MRN Pou3f1 C1ql4 Glut,107,8,4.9195895,5.5760345,0.8691588785046729
adult,19 MB Glut,167 PRC-PAG Tcf7l2 Irx2 Glut,1336,9,4.763467,5.8141594,0.7747005988023952
adult,19 MB Glut,169 PAG-SC Pou4f1 Zic1 Glut,1491,9,4.802173,5.7587147,0.7867203219315896
adult,19 MB Glut,170 PAG-MRN Tfap2b Glut,2347,11,4.6191063,5.6546474,0.7656582871751172
adult,19 MB Glut,171 PAG Pou4f1 Bnc2 Glut,1670,10,4.7859807,5.754669,0.7832335329341318
adult,19 MB Glut,172 PAG Pou4f1 Ebf2 Glut,6447,8,4.3294177,5.4833,0.7237474794478052
adult,19 MB Glut,173 PAG Pou4f2 Glut,4533,8,4.5540724,5.7109313,0.7443194352525921
adult,19 MB Glut,174 PAG Pou4f2 Mesi2 Glut,4472,8,4.534531,5.650917,0.7495527728085868
adult,19 MB Glut,176 SCig Foxb1 Glut,338,8,4.546684,5.621415,0.742603550295858
adult,19 MB Glut,179 SCdg-PAG Tfap2b Glut,628,8,4.4702663,5.6374054,0.7388535031847133
adult,19 MB Glut,182 CUN-PPN Evx2 Meis2 Glut,449,10,4.6104712,5.56883,0.7728285077951003
adult,19 MB Glut,190 ND-INC Foxd2 Glut,114,15,4.386948,5.7699924,0.7192982456140351
adult,20 MB GABA,191 PAG-MRN Rln3 Gaba,133,14,4.713756,5.5572953,0.8045112781954887
adult,20 MB GABA,192 PPN-CUN-PCG Otp En1 Gaba,56,7,2.6417944,0.0,0.44642857142857145
adult,20 MB GABA,193 MRN-PPN-CUN Pax8 Gaba,627,12,5.14312,6.3702407,0.7703349282296651
adult,20 MB GABA,194 MRN-VTN-PPN Pax5 Cdh23 Gaba,475,12,4.263565,5.3292174,0.728421052631579
adult,20 MB GABA,195 SNr-VTA Pax5 Npas1 Gaba,620,10,4.644186,5.290864,0.8419354838709677
adult,20 MB GABA,196 PAG-PPN Pax5 Sox21 Gaba,1655,16,4.3392706,5.557914,0.718429003021148
adult,20 MB GABA,197 SNr Six3 Gaba,1275,14,5.442769,5.9365106,0.9105882352941177
adult,20 MB GABA,198 IC Six3 En2 Gaba,773,8,4.03324,5.43193,0.6558861578266494
adult,20 MB GABA,199 PAG-MRN-RN Foxa2 Gaba,1006,22,4.7778354,5.797367,0.7862823061630219
adult,20 MB GABA,200 PAG-ND-PCG Onecut1 Gaba,1211,18,5.0134277,5.918024,0.8109000825763831
adult,20 MB GABA,201 PAG-RN Nkx2-2 Otx1 Gaba,2268,10,4.686928,5.738191,0.7654320987654321
adult,20 MB GABA,202 PRT Tcf7l2 Gaba,1012,16,4.640822,5.620511,0.7796442687747036
adult,20 MB GABA,205 SC-PAG Lef1 Emx2 Gaba,1219,8,4.492539,5.7021976,0.7260049220672683
adult,20 MB GABA,206 SCm-PAG Cdh23 Gaba,2123,8,4.2320414,5.5955324,0.682053697597739
adult,20 MB GABA,214 IPN Otp Crisp1 Gaba,2082,15,5.2603803,6.2093887,0.8174831892411143
adult,21 MB Dopa,215 SNc-VTA-RAmb Foxa1 Dopa,3732,19,4.059394,5.052499,0.727491961414791
adult,22 MB-HB Sero,216 MB-MY Tph2 Glut-Sero,1708,15,3.9760258,4.989216,0.7148711943793911
adult,23 P Glut,220 PB Pax5 Glut,64,11,3.400682,4.898937,0.5625
adult,23 P Glut,221 LDT-PCG Vsx2 Lhx4 Glut,3629,13,4.3506956,5.697473,0.693303940479471
adult,23 P Glut,223 B-PB Nr4a2 Glut,258,13,4.749169,5.6037817,0.813953488372093
adult,23 P Glut,224 PCG-PRNr Vsx2 Nkx6-1 Glut,845,14,4.38172,5.6152754,0.714792899408284
adult,23 P Glut,225 PRNc-NI-SG-RPO Vsx2 Nr4a2 Glut,703,10,4.448647,5.7587147,0.7069701280227596
adult,23 P Glut,226 PRNc-PARN Tlx1 Glut,83,5,4.3306413,5.2361813,0.7590361445783133
adult,23 P Glut,230 PRNr Otp Nfib Glut,81,9,5.073323,5.910549,0.8271604938271605
adult,23 P Glut,231 IPN-LDT Vsx2 Nkx6-1 Glut,775,13,4.2554436,5.4540353,0.7006451612903226
adult,23 P Glut,232 LDT Vsx2 Nkx6-1 Nfib Glut,1189,8,4.0755787,5.3906,0.6694701429772918
adult,23 P Glut,235 PG-TRN-LRN Fat2 Glut,1392,8,5.23838,5.813071,0.8857758620689655
adult,24 MY Glut,237 PRP-NI-PRNc-GRN Otp Glut,511,9,4.994316,5.952504,0.8082191780821918
adult,24 MY Glut,251 NTS Dbh Glut,116,26,4.383453,5.3282843,0.7672413793103449
adult,26 P GABA,263 CS-RPO Meis2 Gaba,724,14,4.759094,5.993708,0.744475138121547
adult,26 P GABA,264 PRNc Otp Gly-Gaba,921,9,4.892525,5.8962307,0.7861020629750272
adult,26 P GABA,265 PB Sst Gly-Gaba,171,14,4.2831016,5.499463,0.695906432748538
adult,26 P GABA,266 PRNc Prox1 Brs3 Gly-Gaba,112,6,5.277844,6.083053,0.8392857142857143
adult,26 P GABA,267 CS-PRNr-PCG Tmem163 Otp Gaba,607,16,4.935135,5.965624,0.785831960461285
adult,26 P GABA,268 CS-PRNr-DR En1 Sox2 Gaba,511,20,4.4444017,5.5325284,0.7455968688845401
adult,26 P GABA,269 LDT Fgf7 Gaba,418,11,4.3604145,5.578087,0.715311004784689
adult,26 P GABA,270 LDT-DTN Gata3 Nfix Gaba,502,10,4.9228477,5.8480387,0.8107569721115537
adult,26 P GABA,271 NI-RPO Gata3 Nr4a2 Gaba,477,14,4.716318,5.780711,0.7714884696016772
adult,26 P GABA,272 LDT-PCG-CS Gata3 Lhx1 Gaba,654,20,4.7773733,5.8307867,0.7813455657492355
adult,26 P GABA,273 PDTg-PCG Pax6 Gaba,2000,15,4.6362243,5.777027,0.7465
adult,26 P GABA,274 PDTg Otp Shroom3 Gaba,290,5,4.363003,5.7782803,0.6862068965517242
adult,26 P GABA,275 PDTg Otp Olig3 Gaba,719,7,4.809512,5.8312354,0.7872044506258693
adult,26 P GABA,276 LDT-PCG St18 Gaba,755,15,4.697409,5.8237243,0.7456953642384105
adult,26 P GABA,277 DTN-LDT-IPN Otp Pax3 Gaba,2901,15,4.695519,5.920445,0.7404343329886246
adult,30 Astro-Epen,318 Astro-NT NN,45815,51,3.9653587,6.526553,0.5165993670195351
adult,30 Astro-Epen,319 Astro-TE NN,50108,36,3.7455745,6.012223,0.5056278438572683
adult,30 Astro-Epen,321 Astroependymal NN,327,15,3.2466547,0.0,0.43425076452599387
adult,30 Astro-Epen,322 Tanycyte NN,973,19,4.9781814,6.797708,0.6742034943473793
adult,30 Astro-Epen,323 Ependymal NN,957,23,2.9257033,0.0,0.41379310344827586
adult,30 Astro-Epen,324 Hypendymal NN,80,6,6.480288,7.3890405,0.8625
adult,31 OPC-Oligo,326 OPC NN,33243,53,6.9350824,7.8295636,0.8714315795806636
adult,31 OPC-Oligo,327 Oligo NN,83475,53,7.9478726,8.456071,0.9464510332434861
adult,33 Vascular,329 ABC NN,254,10,5.871991,6.864854,0.8110236220472441
adult,33 Vascular,330 VLMC NN,2242,45,3.473945,0.0,0.46520963425512935
adult,33 Vascular,331 Peri NN,5813,49,2.7749276,0.0,0.3433683124032341
adult,33 Vascular,332 SMC NN,3495,45,4.6701775,6.9273586,0.6068669527896996
adult,33 Vascular,333 Endo NN,22898,51,3.7087064,0.0,0.490348502052581
adult,34 Immune,334 Microglia NN,23639,52,3.9593184,6.3502617,0.5052244172765346
adult,34 Immune,335 BAM NN,1462,39,4.2644887,6.64563,0.5622435020519836
adult,34 Immune,337 DC NN,98,19,2.9422395,0.0,0.41836734693877553
adult,34 Immune,338 Lymphoid NN,68,19,1.177239,0.0,0.14705882352941177
aged,01 IT-ET Glut,001 CLA-EPd-CTX Car3 Glut,668,5,2.262953,0.0,0.4221556886227545
aged,01 IT-ET Glut,002 IT EP-CLA Glut,2445,20,2.8070643,4.167184,0.5284253578732107
aged,01 IT-ET Glut,003 L5/6 IT TPE-ENT Glut,2032,19,3.8146248,4.838153,0.7116141732283464
aged,01 IT-ET Glut,004 L6 IT CTX Glut,9280,23,2.9680085,4.3725443,0.5482758620689655
aged,01 IT-ET Glut,005 L5 IT CTX Glut,11803,22,3.7557576,4.8549533,0.6732186732186732
aged,01 IT-ET Glut,006 L4/5 IT CTX Glut,18675,21,3.0604906,4.40713,0.5671218206157965
