cluster_alias,cluster,supertype,subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
328,0262 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,5874,3.0899432,4.400228,0.5861423220973783
329,0263 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,1690,3.3372853,4.5035567,0.6325443786982249
330,0264 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,70,2.5264401,1.7761693,0.5
331,0265 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,57,4.2222795,4.7965817,0.8245614035087719
332,0278 CA1-ProS Glut_3,0071 CA1-ProS Glut_3,016 CA1-ProS Glut,01 IT-ET Glut,Glut,30,4.132289,4.802844,0.8
333,0388 SUB-ProS Glut_2,0097 SUB-ProS Glut_2,023 SUB-ProS Glut,01 IT-ET Glut,Glut,118,3.8219125,4.6269197,0.7711864406779662
334,0394 SUB-ProS Glut_3,0098 SUB-ProS Glut_3,023 SUB-ProS Glut,01 IT-ET Glut,Glut,145,3.4142308,4.500316,0.6758620689655173
335,0389 SUB-ProS Glut_2,0097 SUB-ProS Glut_2,023 SUB-ProS Glut,01 IT-ET Glut,Glut,114,3.8135483,4.7306843,0.7456140350877193
336,0390 SUB-ProS Glut_2,0097 SUB-ProS Glut_2,023 SUB-ProS Glut,01 IT-ET Glut,Glut,210,3.281274,4.1443977,0.6666666666666666
337,0383 SUB-ProS Glut_1,0096 SUB-ProS Glut_1,023 SUB-ProS Glut,01 IT-ET Glut,Glut,153,4.4769707,5.3452215,0.7908496732026143
338,0384 SUB-ProS Glut_1,0096 SUB-ProS Glut_1,023 SUB-ProS Glut,01 IT-ET Glut,Glut,347,4.6737933,5.376258,0.8357348703170029
339,0395 SUB-ProS Glut_3,0098 SUB-ProS Glut_3,023 SUB-ProS Glut,01 IT-ET Glut,Glut,78,4.480352,4.987256,0.8717948717948718
340,0385 SUB-ProS Glut_1,0096 SUB-ProS Glut_1,023 SUB-ProS Glut,01 IT-ET Glut,Glut,155,4.887977,5.544975,0.8580645161290322
341,0386 SUB-ProS Glut_1,0096 SUB-ProS Glut_1,023 SUB-ProS Glut,01 IT-ET Glut,Glut,332,5.284297,5.710714,0.9367469879518072
342,0266 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,79,2.725184,3.7681324,0.5443037974683544
343,0289 CA1-ProS Glut_5,0073 CA1-ProS Glut_5,016 CA1-ProS Glut,01 IT-ET Glut,Glut,221,4.6983685,5.410817,0.8280542986425339
344,0267 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,96,3.0585172,4.081362,0.6354166666666666
345,0279 CA1-ProS Glut_3,0071 CA1-ProS Glut_3,016 CA1-ProS Glut,01 IT-ET Glut,Glut,147,4.2368937,5.008456,0.7959183673469388
346,0271 CA1-ProS Glut_2,0070 CA1-ProS Glut_2,016 CA1-ProS Glut,01 IT-ET Glut,Glut,154,3.2071247,4.2690353,0.6363636363636364
347,0254 ENTmv-PA-COAp Glut_1,0066 ENTmv-PA-COAp Glut_1,015 ENTmv-PA-COAp Glut,01 IT-ET Glut,Glut,133,4.8890514,5.258966,0.8872180451127819
348,0272 CA1-ProS Glut_2,0070 CA1-ProS Glut_2,016 CA1-ProS Glut,01 IT-ET Glut,Glut,657,3.8421628,4.7007346,0.7503805175038052
349,0280 CA1-ProS Glut_3,0071 CA1-ProS Glut_3,016 CA1-ProS Glut,01 IT-ET Glut,Glut,72,4.2443714,4.9210606,0.8333333333333334
350,0284 CA1-ProS Glut_4,0072 CA1-ProS Glut_4,016 CA1-ProS Glut,01 IT-ET Glut,Glut,209,3.6908336,4.659459,0.7129186602870813
351,0285 CA1-ProS Glut_4,0072 CA1-ProS Glut_4,016 CA1-ProS Glut,01 IT-ET Glut,Glut,36,3.4480996,4.5359545,0.6111111111111112
352,0273 CA1-ProS Glut_2,0070 CA1-ProS Glut_2,016 CA1-ProS Glut,01 IT-ET Glut,Glut,598,3.1725726,4.41751,0.5986622073578596
353,0274 CA1-ProS Glut_2,0070 CA1-ProS Glut_2,016 CA1-ProS Glut,01 IT-ET Glut,Glut,286,2.902231,4.1477995,0.583916083916084
354,0286 CA1-ProS Glut_4,0072 CA1-ProS Glut_4,016 CA1-ProS Glut,01 IT-ET Glut,Glut,1278,3.5245829,4.5120955,0.6784037558685446
355,0290 CA1-ProS Glut_5,0073 CA1-ProS Glut_5,016 CA1-ProS Glut,01 IT-ET Glut,Glut,56,4.179244,4.6425066,0.8035714285714286
356,0268 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,36,2.657675,3.9928203,0.5277777777777778
357,0291 CA1-ProS Glut_5,0073 CA1-ProS Glut_5,016 CA1-ProS Glut,01 IT-ET Glut,Glut,330,5.001375,5.6134076,0.8666666666666667
358,0269 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,638,3.188356,4.5355954,0.5956112852664577
359,0270 CA1-ProS Glut_1,0069 CA1-ProS Glut_1,016 CA1-ProS Glut,01 IT-ET Glut,Glut,213,2.7325783,3.9644828,0.5446009389671361
360,0287 CA1-ProS Glut_4,0072 CA1-ProS Glut_4,016 CA1-ProS Glut,01 IT-ET Glut,Glut,391,3.433975,4.220266,0.7007672634271099
361,0275 CA1-ProS Glut_2,0070 CA1-ProS Glut_2,016 CA1-ProS Glut,01 IT-ET Glut,Glut,105,3.3965695,4.5104675,0.6666666666666666
