subclass,class,neurotransmitter,n_cells,mean_Kif13a,median_Kif13a,fraction_expressing
273 PDTg-PCG Pax6 Gaba,26 P GABA,GABA,121,4.629459,5.899141,0.71900826446281
273 PDTg-PCG Pax6 Gaba,26 P GABA,Glut-GABA,35,3.3827848,5.434666,0.5142857142857142
274 PDTg Otp Shroom3 Gaba,26 P GABA,GABA,5,2.421929,0.0,0.4
275 PDTg Otp Olig3 Gaba,26 P GABA,GABA,33,4.7511115,5.9419074,0.7272727272727273
276 LDT-PCG St18 Gaba,26 P GABA,GABA,14,4.093577,5.579264,0.6428571428571429
277 DTN-LDT-IPN Otp Pax3 Gaba,26 P GABA,GABA,21,4.811599,5.783926,0.7619047619047619
278 NLL Gata3 Gly-Gaba,26 P GABA,GABA-Glyc,6,3.7304363,4.3309917,0.6666666666666666
281 POR Gata3 Gly-Gaba,26 P GABA,GABA-Glyc,4,3.8123596,4.7254963,0.75
282 POR Spp1 Gly-Gaba,26 P GABA,GABA-Glyc,1,4.357687,4.357687,1.0
283 PRP Otp Gly-Gaba,27 MY GABA,GABA-Glyc,2116,5.6642714,6.3535986,0.8672022684310019
284 GRN-IRN-MDRNd Ikzf1 Gly-Gaba,27 MY GABA,GABA-Glyc,164,4.8809576,5.9078135,0.7804878048780488
285 MY Lhx1 Gly-Gaba,27 MY GABA,Chol,19,5.0760565,5.304721,1.0
285 MY Lhx1 Gly-Gaba,27 MY GABA,GABA,25,5.552857,6.424735,0.88
285 MY Lhx1 Gly-Gaba,27 MY GABA,GABA-Glyc,1757,4.741695,5.7337303,0.790552077404667
285 MY Lhx1 Gly-Gaba,27 MY GABA,Glut-GABA,21,5.687855,6.0867367,0.9523809523809523
286 PPY-PGRNl Vip Glyc-Gaba,27 MY GABA,GABA-Glyc,134,4.577713,5.460386,0.8134328358208955
287 MV-SPIV-PRP Dmbx1 Gly-Gaba,27 MY GABA,GABA,86,5.136112,5.9297667,0.8372093023255814
287 MV-SPIV-PRP Dmbx1 Gly-Gaba,27 MY GABA,GABA-Glyc,554,5.829312,6.417143,0.8989169675090253
287 MV-SPIV-PRP Dmbx1 Gly-Gaba,27 MY GABA,Glut-GABA,142,5.5188704,6.3955164,0.852112676056338
288 MDRN Hoxb5 Ebf2 Gly-Gaba,27 MY GABA,GABA-Glyc,350,5.0995355,5.713123,0.8657142857142858
289 MDRNd Prox1 Pax6 Gly-Gaba,27 MY GABA,GABA,13,3.2941186,0.0,0.46153846153846156
289 MDRNd Prox1 Pax6 Gly-Gaba,27 MY GABA,GABA-Glyc,171,5.2453876,6.1949964,0.8245614035087719
290 MY Prox1 Lmo7 Gly-Gaba,27 MY GABA,GABA-Glyc,328,4.7579427,5.706299,0.7804878048780488
291 NTS-MDRNd Prox1 Zic1 Gly-Gaba,27 MY GABA,GABA-Glyc,593,5.383025,6.1816664,0.8313659359190556
292 MV Nkx6-1 Gly-Gaba,27 MY GABA,GABA-Glyc,1256,5.664307,6.1946106,0.9084394904458599
293 PAS-MV Ebf2 Gly-Gaba,27 MY GABA,GABA-Glyc,4493,5.310344,6.19212,0.8266191853995104
294 MV Pax6 Gly-Gaba,27 MY GABA,GABA-Glyc,566,5.6761513,6.3626175,0.8780918727915195
295 CBN Dmbx1 Gaba,27 MY GABA,GABA,52,4.370157,5.889086,0.7115384615384616
296 RPA Pax6 Hoxb5 Gly-Gaba,27 MY GABA,GABA,18,4.618535,6.2777376,0.7222222222222222
296 RPA Pax6 Hoxb5 Gly-Gaba,27 MY GABA,GABA-Glyc,305,4.9354935,6.1107383,0.7704918032786885
298 PRP Gata3 Slc6a5 Gly-Gaba,27 MY GABA,GABA-Glyc,696,6.66488,7.176841,0.9382183908045977
299 MARN-PPY Ngfr Gly-Gaba,27 MY GABA,GABA-Glyc,28,4.3793044,5.440035,0.7857142857142857
300 PARN-MDRNd-NTS Gbx2 Gly-Gaba,27 MY GABA,GABA-Glyc,3949,3.901994,5.2652416,0.6556090149404913
301 MV Nr4a2 Gly-Gaba,27 MY GABA,Dopa,17,3.6330843,5.205053,0.6470588235294118
302 MV Xdh Gly-Gaba,27 MY GABA,GABA-Glyc,38,4.2720456,5.691079,0.7105263157894737
303 IRN Dmbx1 Pax2 Gly-Gaba,27 MY GABA,GABA-Glyc,316,4.4562,5.447138,0.7658227848101266
304 NTS-PARN Neurod2 Gly-Gaba,27 MY GABA,GABA,212,2.9276857,0.0,0.4811320754716981
304 NTS-PARN Neurod2 Gly-Gaba,27 MY GABA,GABA-Glyc,5990,3.8933167,5.334024,0.6400667779632722
305 SPVI-SPVC Sall3 Nfib Gly-Gaba,27 MY GABA,GABA-Glyc,1582,3.8420627,5.1418886,0.6536030341340076
306 SPVI-SPVC Sall3 Lhx1 Gly-Gaba,27 MY GABA,GABA,391,3.0608518,4.58059,0.5191815856777494
306 SPVI-SPVC Sall3 Lhx1 Gly-Gaba,27 MY GABA,GABA-Glyc,1611,3.3842728,4.831728,0.5810055865921788
307 RO-RPA Pkd2l1 Gaba,27 MY GABA,GABA,448,4.6113877,6.107909,0.6986607142857143
308 DCO Il22 Gly-Gaba,28 CB GABA,GABA-Glyc,1351,4.3434434,5.734371,0.6809770540340488
309 CB PLI Gly-Gaba,28 CB GABA,GABA,141,3.5041435,5.287904,0.5106382978723404
309 CB PLI Gly-Gaba,28 CB GABA,GABA-Glyc,37,4.4574776,6.049447,0.7027027027027027
310 CBX Golgi Gly-Gaba,28 CB GABA,GABA-Glyc,48,4.901161,5.8941326,0.8125
311 CBX MLI Megf11 Gaba,28 CB GABA,GABA,203,2.405441,0.0,0.3497536945812808
312 CBX MLI Cdh22 Gaba,28 CB GABA,GABA,57,1.9462193,0.0,0.2982456140350877
313 CBX Purkinje Gaba,28 CB GABA,GABA,2,2.368127,2.368127,0.5
314 CB Granule Glut,29 CB Glut,Glut,17659,6.666367,7.9255886,0.8145421598051985
315 DCO UBC Glut,29 CB Glut,Glut,6394,4.1838694,6.2199736,0.5864873318736316
316 Bergmann NN,30 Astro-Epen,,1,6.321654,6.321654,1.0
317 Astro-CB NN,30 Astro-Epen,,2,3.4494016,3.4494016,0.5
318 Astro-NT NN,30 Astro-Epen,,14884,4.204087,6.475939,0.5688658962644451
321 Astroependymal NN,30 Astro-Epen,,125,3.7327929,6.0078073,0.512
323 Ependymal NN,30 Astro-Epen,,245,3.7527742,5.448731,0.5714285714285714
324 Hypendymal NN,30 Astro-Epen,,1,7.734704,7.734704,1.0
325 CHOR NN,30 Astro-Epen,,159,3.7500744,5.1942906,0.6540880503144654
326 OPC NN,31 OPC-Oligo,,8683,5.7860684,7.263927,0.7560750892548659
327 Oligo NN,31 OPC-Oligo,,70455,7.7380233,8.318398,0.9326662408629621
328 OEC NN,32 OEC,,1,7.6704183,7.6704183,1.0
329 ABC NN,33 Vascular,,5,4.523434,5.263821,0.8
330 VLMC NN,33 Vascular,,665,3.2032268,0.0,0.42857142857142855
331 Peri NN,33 Vascular,,2192,2.9596581,0.0,0.36952554744525545
332 SMC NN,33 Vascular,,1120,4.4988227,6.7891436,0.5875
333 Endo NN,33 Vascular,,7217,3.9546165,5.996338,0.5193293612304282
334 Microglia NN,34 Immune,,3159,4.149501,6.6435747,0.5390946502057613
335 BAM NN,34 Immune,,272,4.144905,6.4498844,0.5551470588235294
336 Monocytes NN,34 Immune,,2,4.184467,4.184467,0.5
337 DC NN,34 Immune,,20,4.9064827,6.2981143,0.7
338 Lymphoid NN,34 Immune,,38,0.88836557,0.0,0.10526315789473684
